PostCode,Gender,ModuleCode
NE1,F,82
NR5,M,82
OX29,F,82
PE8,M,82
SN12,F,82
SW7,M,82
TN6,F,82
WA1,F,82
WF16,M,82
412300,M,81
85000,M,81
9100,F,81
B31,F,81
BD15,M,81
BD5,F,81
BR2,F,81
CT19,M,81
CV10,F,81
DA1,M,81
DE15,M,81
EX18,M,81
HD7,F,81
LN2,M,81
LS14,F,81
NG23,M,81
RM18,M,81
S9,M,81
SE11,M,81
SE5,F,81
WF3,M,81
100078,M,80
210012,M,80
246001,F,80
330800,F,80
40400,M,80
43000,M,80
525000,M,80
528400,F,80
CV4,M,80
DN6,F,80
NG17,F,80
S25,M,80
WC2H,F,80
WD24,M,80
WR10,F,80
YO16,M,80
100075,M,79
100161,M,79
237000,M,79
31016,M,79
400039,M,79
500092,M,79
50011,M,79
5588,F,79
6150,F,79
CA1,F,79
CT14,M,79
CV9,M,79
EN1,M,79
FY2,F,79
GU9,F,79
HA2,M,79
HU10,F,79
KT6,F,79
L20,F,79
LS24,M,79
NG18,F,79
OL2,F,79
PO10,M,79
RH13,F,79
SC-10,M,79
SG8,F,79
W11,F,79
WN6,F,79
100123,M,78
10540,F,78
31007,M,78
7038,M,78
AD500,M,78
BS22,F,78
BT10,M,78
CF64,M,78
HP27,F,78
L24,F,78
L6,M,78
LA5,M,78
LS11,F,78
NE65,F,78
S43,M,78
WF10,M,78
WF7,F,78
31014,M,77
695564,M,77
80-747,F,77
CA5,F,77
CB1,F,77
CW8,F,77
IP5,F,77
LN6,M,77
NE15,M,77
NR9,F,77
SE1,M,77
SS11,F,77
10008,M,76
1051,M,76
16673,M,76
2605-657,F,76
2865-508,F,76
3090,M,76
5282,M,76
6004,F,76
8030,M,76
90145,M,76
B29,M,76
BT47,F,76
BT54,M,76
CH45,M,76
HU13,M,76
KT17,F,76
LA3,M,76
LS22,F,76
LS23,M,76
M41,F,76
NE28,F,76
NE30,F,76
NG1,M,76
NG4,M,76
NP19,M,76
SS12,M,76
TF6,F,76
21378,M,75
40460,M,75
59100,M,75
BD22,F,75
BL2,F,75
BN2,F,75
BT23,F,75
CA28,F,75
DH3,M,75
DN3,F,75
GL3,M,75
IG11,F,75
IP5,M,75
L3,M,75
NG18,M,75
NG20,M,75
NN11,F,75
PE4,F,75
S36,M,75
10900,M,74
1612,F,74
4645,M,74
71706,F,74
B78,M,74
BA20,M,74
BS36,F,74
BT92,F,74
CO10,M,74
DN36,M,74
EX31,M,74
HD5,M,74
IP13,M,74
IP14,F,74
LN4,M,74
NG19,M,74
NG2,M,74
NG31,F,74
PO30,M,74
PR6,F,74
SE28,M,74
SK23,F,74
TW15,M,74
UB5,F,74
WF17,F,74
YO22,F,74
100055,F,73
20863,M,73
210019,F,73
242000,M,73
246000,F,73
32724,M,73
351100,M,73
523900,M,73
B61,M,73
BD8,F,73
BT82,F,73
CF34,M,73
CT17,M,73
EX22,M,73
FO-160,M,73
GL20,F,73
GL4,M,73
HX3,F,73
LA4,F,73
LA6,M,73
NE32,F,73
S62,M,73
S63,F,73
S66,M,73
S72,F,73
S8,M,73
T55,M,73
WS15,M,73
WV6,F,73
100061,M,72
100071,F,72
11177,M,72
130033,F,72
250018,M,72
312000,F,72
361004,F,72
413515,M,72
518,F,72
518101,F,72
524000,F,72
58000,F,72
602227,M,72
610000,F,72
715500,F,72
BD9,M,72
DN12,M,72
DN32,M,72
DN35,F,72
E14,M,72
HP20,M,72
LS10,M,72
LS8,M,72
MK45,F,72
RM17,M,72
S64,F,72
SE4,F,72
TS2,M,72
09-400,F,71
28270,M,71
5955,M,71
BT12,M,71
BT15,F,71
BT36,M,71
BT56,F,71
CH49,F,71
DA14,F,71
HP17,M,71
LS18,M,71
NP44,F,71
PE19,M,71
SA33,M,71
SN25,M,71
ST10,M,71
TN30,F,71
WF12,F,71
YO19,M,71
1410,F,70
214000,F,70
350008,F,70
400064,M,70
500034,F,70
524000,M,70
560043,F,70
9550,F,70
BD23,M,70
BS15,F,70
BT29,F,70
HU7,F,70
LS19,F,70
LS26,F,70
LS7,M,70
NE45,F,70
NE66,M,70
S71,F,70
ST20,F,70
TD15,M,70
TN10,F,70
WD18,M,70
WV2,M,70
20124,F,69
221000,M,69
277001,M,69
442001,F,69
84300,F,69
DE74,M,69
HU12,F,69
M26,F,69
