MFP2028-N,67.75,8
MMD1000-N,0,1
MPR3002-N,61.1875,16
MUL3051-N,65.09375,32
MUL3055-N,60.85714286,14
MUL3059-N,51.77777778,9
MUL3060-N,67.22222222,9
MUL3061-N,44.22222222,9
MUL3063-N,67.25,4
MUL3064-N,68.5,4
PER3008-N,56.8,20
PER3012-N,61.5,4
PER3018-N,55.91666667,24
PER3025-N,64,4
PER3028-N,64.1,20
VIS3103-N,69.85714286,7
VIS3104-N,59.72307692,65
VIS3105-N,59.41176471,17
VIS3108-N,71.42307692,52
VIS3109-N,72.40384615,52
VIS3110-N,50.56164384,73
VIS3126-N,57.66666667,12
VIS4059-N,69.83333333,6
VIS4060-N,59.33333333,6
VIS4073-N,60,6
,#DIV/0!,0
